Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
46,1597456,21,2748000,53000,18,72
147,1597656,56,2748000,53000,52,75
247,1598040,160,2748000,53000,156,71
348,1597916,259,2748000,53000,256,66
448,1598672,364,2527000,0,359,64
548,1603264,459,2527000,0,456,71
649,1600728,581,2527000,0,575,65
752,1603868,673,2527000,0,663,73
861,1604216,761,2527000,0,758,69
952,1604636,877,2527000,0,867,73
1053,1604908,962,2527000,0,958,93
1153,1607364,1061,2527000,0,1058,82
1253,1608356,1163,2527000,0,1161,92
1354,1607360,1268,2527000,0,1264,97
1455,1607460,1362,2447000,0,1360,90
1555,1607572,1467,2447000,0,1464,87
1656,1607616,1563,2447000,0,1561,84
1757,1607628,1673,2447000,0,1665,86
1857,1607740,1768,2447000,0,1765,83
1957,1607988,1869,2447000,0,1866,88
2060,1608112,1970,2447000,0,1967,86
2159,1608236,2074,2447000,0,2071,85
2259,1608440,2169,2447000,0,2167,82
2360,1608436,2272,2447000,0,2270,85
2460,1608780,2372,3439000,744000,2369,81
2561,1608672,2470,3439000,744000,2466,61
2661,1608796,2570,3439000,744000,2566,65
2761,1608672,2670,3439000,744000,2667,64
2862,1607928,2774,3439000,744000,2769,67
2962,1608052,2881,3439000,744000,2878,65
3062,1608252,2973,3439000,744000,2968,66
3163,1608004,3075,3439000,744000,3068,62
3263,1610732,3171,3439000,744000,3168,66
3364,1611612,3274,3439000,744000,3269,65
3464,1612392,3374,2187000,0,3369,65
3578,1611804,3475,2187000,0,3472,75
3629,1611812,3586,2187000,0,3583,86
3729,1611796,3637,2187000,0,3635,88
3829,1611928,3736,2187000,0,3734,97
3930,1612144,3837,2187000,0,3834,92
4030,1612392,3940,2187000,0,3937,85
4130,1612516,4040,2187000,0,4037,86
4230,1612056,4145,2187000,0,4141,86
4331,1612224,4239,2187000,0,4236,87
4431,1612048,4357,3298000,603000,4344,79
4533,1611912,4444,3298000,603000,4441,65
4634,1612148,4548,3298000,603000,4542,64
4734,1612164,4650,3298000,603000,4646,75
4834,1610728,4745,3298000,603000,4742,73
4935,1610960,4844,3298000,603000,4841,68
5035,1611060,4952,3298000,603000,4950,67
5135,1611308,5047,3298000,603000,5044,66
5236,1611456,5146,3298000,603000,5143,68
5336,1611476,5257,3298000,603000,5245,64
5437,1611416,5346,2247000,0,5342,64
5537,1611540,5456,2247000,0,5443,66
5638,1611664,5549,2247000,0,5544,61
5738,1610424,5648,2247000,0,5644,64
5838,1610652,5749,2247000,0,5744,63
5939,1609496,5848,2247000,0,5845,75
6039,1609392,5951,2247000,0,5946,73
6140,1609516,6049,2247000,0,6044,64
6240,1609820,6151,2247000,0,6147,62
6340,1609836,6249,2247000,0,6246,66
6441,1609744,6356,1984000,0,6354,75
6541,1609744,6449,1984000,0,6446,71
6641,1609540,6549,1984000,0,6546,76
6742,1609428,6649,1984000,0,6646,81
6842,1609428,6750,1984000,0,6747,80
6946,1609652,6850,1984000,0,6847,83
7046,1609108,6980,1984000,0,6968,83
7146,1609016,7053,1984000,0,7051,92
7246,1608904,7160,1984000,0,7151,92
7348,1608904,7254,1984000,0,7251,85
7448,1608732,7356,3273000,578000,7353,78
7548,1608796,7456,3273000,578000,7453,63
7649,1608796,7557,3273000,578000,7554,66
7751,1608684,7657,3273000,578000,7654,62
7850,1608920,7761,3273000,578000,7757,65
7950,1609168,7858,3273000,578000,7855,65
