Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
13,1593788,47,2836000,141600,44,84
114,1593944,126,2836000,141600,123,92
215,1595308,226,2836000,141600,221,88
315,1599628,338,2836000,141600,331,92
415,1595472,435,2836000,141600,427,97
519,1598448,532,2836000,141600,528,94
623,1598480,640,3042000,347600,637,95
723,1599832,732,3042000,347600,729,100
823,1599956,835,3042000,347600,832,90
924,1601924,932,3042000,347600,929,93
1024,1602576,1034,3042000,347600,1031,91
1125,1603048,1135,3042000,347600,1132,84
1225,1602984,1234,3042000,347600,1232,87
1325,1603436,1334,3042000,347600,1331,84
1425,1603480,1434,3042000,347600,1432,83
1527,1603604,1540,3042000,347600,1537,86
1626,1604004,1636,3261000,566600,1632,86
1727,1604488,1744,3261000,566600,1741,81
1827,1604728,1834,3261000,566600,1832,97
1927,1604852,1939,3261000,566600,1933,100
2027,1604408,2034,3261000,566600,2032,92
2128,1604456,2135,3261000,566600,2132,86
2228,1604344,2235,3261000,566600,2233,85
2329,1604468,2336,3261000,566600,2333,82
2429,1604248,2437,3261000,566600,2434,78
2531,1604372,2539,3261000,566600,2536,86
2631,1604520,2638,3449000,754600,2636,84
2731,1604424,2742,3449000,754600,2738,87
2832,1604452,2839,3449000,754600,2836,83
2932,1604576,2942,3449000,754600,2938,88
3033,1604884,3044,3449000,754600,3041,83
3134,1604892,3144,3449000,754600,3140,90
3234,1607868,3246,3449000,754600,3240,72
3334,1607868,3347,3449000,754600,3340,62
3435,1608084,3452,3449000,754600,3440,73
3535,1608084,3551,3449000,754600,3541,75
3636,1608084,3644,2881000,186600,3641,70
3737,1608004,3753,2881000,186600,3743,64
3837,1608488,3847,2881000,186600,3844,63
3938,1608364,3956,2881000,186600,3952,64
4038,1608488,4051,2881000,186600,4046,67
4138,1608360,4153,2881000,186600,4147,67
4239,1608568,4248,2881000,186600,4245,93
4339,1608332,4348,2881000,186600,4346,80
4440,1608220,4450,2881000,186600,4448,80
4540,1608096,4563,2881000,186600,4560,79
4640,1607736,4651,2580000,0,4648,85
4741,1607924,4760,2580000,0,4756,80
4842,1607992,4856,2580000,0,4852,79
4942,1608100,4958,2580000,0,4948,83
5042,1608100,5056,2580000,0,5053,88
5143,1608208,5164,2580000,0,5159,83
5244,1608084,5253,2580000,0,5249,80
5345,1607536,5357,2580000,0,5354,88
5445,1606296,5457,2580000,0,5452,88
5545,1606296,5555,2580000,0,5551,79
5646,1605924,5657,3196000,501600,5651,85
5746,1605304,5755,3196000,501600,5752,86
5846,1605428,5854,3196000,501600,5852,81
5947,1605316,5955,3196000,501600,5953,74
6047,1605056,6055,3196000,501600,6052,85
6147,1605108,6160,3196000,501600,6153,76
6248,1604984,6255,3196000,501600,6253,89
6348,1605344,6355,3196000,501600,6353,90
6448,1605480,6456,3196000,501600,6453,88
6549,1606100,6557,3196000,501600,6554,95
6649,1605852,6657,3277000,582600,6654,90
6750,1605852,6761,3277000,582600,6757,87
6850,1605852,6865,3277000,582600,6858,86
6951,1605852,6958,3277000,582600,6955,89
7052,1605788,7060,3277000,582600,7057,90
7153,1605756,7162,3277000,582600,7159,76
7257,1605880,7266,3277000,582600,7263,67
7355,1605992,7364,3277000,582600,7362,67
7457,1605480,7465,3277000,582600,7462,68
7557,1605480,7566,3277000,582600,7563,62
7658,1605660,7668,3014000,319600,7665,72
7759,1605888,7769,3014000,319600,7766,73
7860,1605908,7868,3014000,319600,7866,66
7960,1606032,7969,3014000,319600,7966,66
8061,1606076,8070,3014000,319600,8067,63
8161,1606196,8171,3014000,319600,8168,67
8262,1606196,8272,3014000,319600,8268,75
8363,1606196,8373,3014000,319600,8370,77
8463,1606208,8471,3014000,319600,8468,82
8564,1606208,8575,3014000,319600,8571,81
8665,1606208,8675,2482000,0,8671,81
8766,1606208,8785,2482000,0,8774,79
8866,1605956,8877,2482000,0,8871,97
8967,1605728,8975,2482000,0,8972,93
9067,1605964,9075,2482000,0,9072,85
9168,1605580,9178,2482000,0,9176,74
9268,1605828,9279,2482000,0,9276,64
9370,1605732,9379,2482000,0,9376,64
9469,1605968,9482,2482000,0,9479,67
9570,1605968,9585,2482000,0,9579,63
9671,1606272,9682,2809000,114600,9679,66
9770,1606396,9782,2809000,114600,9779,67
9871,1606544,9882,2809000,114600,9879,63
9971,1606432,9982,2809000,114600,9978,67
10072,1606736,10083,2809000,114600,10080,73
10172,1606276,10184,2809000,114600,10182,66
10273,1606076,10290,2809000,114600,10285,68
10373,1606172,10387,2809000,114600,10384,66
10474,1606228,10489,2809000,114600,10486,65
10574,1606048,10586,2809000,114600,10583,64
10675,1605980,10684,2217000,0,10681,63
10775,1605980,10785,2217000,0,10781,63
10876,1606104,10885,2217000,0,10882,62
10976,1606324,10988,2217000,0,10985,62
11076,1605580,11088,2217000,0,11084,65
11177,1605984,11189,2217000,0,11184,75
11277,1606108,11288,2217000,0,11284,87
11377,1606280,11388,2217000,0,11383,79
11478,1606300,11485,2217000,0,11483,80
11578,1606560,11596,2217000,0,11593,83
11679,1606392,11686,2468000,0,11683,82
11779,1606484,11787,2468000,0,11784,89
11879,1606304,11886,2468000,0,11884,79
11980,1606056,11988,2468000,0,11984,88
12080,1606056,12087,2468000,0,12085,86
12181,1605844,12188,2468000,0,12186,87
12281,1605828,12288,2468000,0,12286,86
12384,1605944,12391,2468000,0,12388,94
12483,1606092,12491,2468000,0,12488,89
12584,1606332,12591,2468000,0,12588,87
12684,1606300,12691,3485000,790600,12689,80
