name,cyclomatic,line,length,params,path
"<anonymous>",2,1,143,3,"/home/user/pure/ap.org/modernizr.js"
"o",1,2,7,2,"/home/user/pure/ap.org/modernizr.js"
"a",10,6,193,0,"/home/user/pure/ap.org/modernizr.js"
"t",4,16,84,1,"/home/user/pure/ap.org/modernizr.js"
"on",1,35,7,2,"/home/user/pure/ap.org/modernizr.js"
"<anonymous>",1,36,5,0,"/home/user/pure/ap.org/modernizr.js"
"addTest",1,40,18,3,"/home/user/pure/ap.org/modernizr.js"
"addAsyncTest",1,47,13,1,"/home/user/pure/ap.org/modernizr.js"
"f",1,54,0,0,"/home/user/pure/ap.org/modernizr.js"
"<anonymous>",3,1,29,0,"/home/user/pure/mopub.com/clientlibs-refsource.js"
"c",3,12,12,1,"/home/user/pure/mopub.com/clientlibs-refsource.js"
"a",4,16,96,1,"/home/user/pure/mopub.com/clientlibs-refsource.js"
"<anonymous>",1,1,4,0,"/home/user/pure/kijiji.ca/locationPickerList.js"
"body_0",1,3,20,2,"/home/user/pure/kijiji.ca/locationPickerList.js"
"body_1",1,8,76,2,"/home/user/pure/kijiji.ca/locationPickerList.js"
"<anonymous>",8,2,158,0,"/home/user/pure/remove.bg/api.js"
"<anonymous>",2,7,15,1,"/home/user/pure/remove.bg/api.js"
"<anonymous>",1,3,37,3,"/home/user/pure/upwork.com/73-763e48177d38f4949ab8.js"
"<anonymous>",1,8,36,0,"/home/user/pure/upwork.com/73-763e48177d38f4949ab8.js"
"<anonymous>",1,1,152,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"p",2,2,40,0,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"d",2,8,39,2,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"v",3,17,153,0,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"m",1,31,13,0,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"onSwitch",6,33,160,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"b",1,39,0,0,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"onSwitch",1,47,41,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",1,48,5,0,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"onSwitch",1,53,41,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",1,54,5,0,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"onSwitch",1,59,41,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",1,60,5,0,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",4,64,75,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",4,70,83,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",1,81,5,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",3,79,26,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",1,87,7,0,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",1,85,8,1,"/home/user/pure/360.cn/85a9725bb0e32f2a.js"
"<anonymous>",7,2,144,0,"/home/user/pure/newyorker.com/api.js"
"<anonymous>",2,7,15,1,"/home/user/pure/newyorker.com/api.js"
"hexunHm",1,1,0,0,"/home/user/pure/hexun.com/hexunhm.js"
"init",2,4,10,0,"/home/user/pure/hexun.com/hexunhm.js"
"<anonymous>",1,8,19,0,"/home/user/pure/hexun.com/hexunhm.js"
"hmId",2,13,105,1,"/home/user/pure/hexun.com/hexunhm.js"
"<anonymous>",3,1,108,5,"/home/user/pure/unicef.org/fundraiseup.js"
"o",2,4,20,1,"/home/user/pure/unicef.org/fundraiseup.js"
"<anonymous>",1,5,13,0,"/home/user/pure/unicef.org/fundraiseup.js"
"<anonymous>",1,1,6,0,"/home/user/pure/gitlab.com/home.js"
"a",1,2,0,0,"/home/user/pure/gitlab.com/home.js"
"<anonymous>",1,1,0,0,"/home/user/pure/usps.com/require-jquery.js"
"bcLoad",1,6,18,0,"/home/user/pure/buydomains.com/bold_chat.js"
"<anonymous>",2,8052,5,0,"/home/user/pure/ok.ru/501_1.js"
"<anonymous>",1,1,30,0,"/home/user/pure/roblox.com/a.js"
"<anonymous>",1,1,42,1,"/home/user/pure/elsevierhealth.com/ammenu.js"
"_create",5,9,106,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",1,14,4,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",1,18,4,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",1,21,4,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",2,25,40,1,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",1,36,0,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"toggleMenu",1,40,21,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"removeEmptyPageBuilderItems",1,45,8,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",3,46,43,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",2,50,16,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",2,56,14,0,"/home/user/pure/elsevierhealth.com/ammenu.js"
"<anonymous>",1,2,34,1,"/home/user/pure/fastly.net/form_functions-2bcdaca2c69990a665163d684448d886b42021569fddb0.js"
"t",2,3,24,1,"/home/user/pure/fastly.net/form_functions-2bcdaca2c69990a665163d684448d886b42021569fddb0.js"
